name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2012-01-01,11,5.7,8.4,11,4.5,6.9,4,74.1,1.47,100,16.67,rain,0,0,35.3,19.9,203.7,1014,33.8,15.8,102.6,8.8,4,,2012-01-01T07:20:08,2012-01-01T16:38:53,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-02,9.9,1,4.3,8.1,-3.6,0.1,-6.3,47,0,0,0,,0,0,49.8,29.4,262.3,1007.4,41.7,16,100.8,8.8,4,,2012-01-02T07:20:14,2012-01-02T16:39:44,0.29,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-03,0.8,-8.8,-3.3,-3.6,-16.5,-9.6,-12.8,48.7,0,0,0,,0,0,50.9,29.5,297.6,1013.6,28.5,16,69,6,3,,2012-01-03T07:20:19,2012-01-03T16:40:36,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-04,-2.8,-10.8,-6.7,-6.6,-19.1,-12.5,-16.3,47.3,0,0,0,,0,0,38.7,21.5,266.2,1019.9,32.9,16,85.3,7.2,4,,2012-01-04T07:20:21,2012-01-04T16:41:29,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-05,4,-2.8,0.6,0.6,-7.2,-2.9,-8.6,50.3,0,0,0,,0,0,36.9,24.8,266.7,1013,81.9,16,93,7.9,4,,2012-01-05T07:20:21,2012-01-05T16:42:24,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-06,11.3,1.5,6.6,11.3,-1.1,4.9,-3.3,50.4,0,0,0,,0,0,50,20.2,221.1,1010.5,35.2,15.7,110.8,9.6,5,,2012-01-06T07:20:18,2012-01-06T16:43:21,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-07,17.1,7,11.3,17.1,6,10.7,-0.5,44.6,0,0,0,,0,0,49.7,19.5,253.1,1008.8,17.3,16,110.3,9.5,5,,2012-01-07T07:20:13,2012-01-07T16:44:19,0.45,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-08,7.8,1,5.2,5.4,-3.3,2.1,-5.2,46.9,0,0,0,,0,0,37.1,21,297.1,1021.7,37.6,16,114.6,9.8,5,,2012-01-08T07:20:06,2012-01-08T16:45:18,0.48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-09,4.6,-0.8,1.8,4,-3.6,0,-7.2,51.6,0,0,0,,0,0,,13.8,196,1023.5,37.7,16,90.2,7.8,4,,2012-01-09T07:19:57,2012-01-09T16:46:18,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-10,8,0.8,4.6,5.7,-3,1.6,-4.1,54,0,0,0,,0,0,38.9,18.9,263.3,1013.7,55.5,15,113.8,9.8,5,,2012-01-10T07:19:45,2012-01-10T16:47:20,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-11,8,2.7,5.5,6.4,1.8,4,-1.9,59.2,0.355,100,4.17,rain,0,0,27.7,18.6,101.7,1016.5,33.1,15.8,111.2,9.6,5,,2012-01-11T07:19:31,2012-01-11T16:48:22,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-12,7.3,5.2,6.3,6,0.6,3.4,4.9,91,35.235,100,58.33,rain,0,0,62.1,45.2,51.8,1001,99.9,8.5,60.2,5.2,3,,2012-01-12T07:19:15,2012-01-12T16:49:26,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KEWR,KLGA,72502014734,KNYC,72503014732"
New York,2012-01-13,9.3,-2,2.6,6.9,-8.9,-2.2,-2.8,69.7,1.943,100,12.5,rain,0,0,62.8,41.7,244.2,999.2,77.4,12.8,100.6,8.7,5,,2012-01-13T07:18:57,2012-01-13T16:50:31,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
